,City,Country,Max Temp($^\circ$F),Current Weather,Lat,Lng,Hotel Name
638,Japura,ID,73.49,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
639,Safford,US,63.52,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
640,Brasilia,BR,64.62,heavy intensity rain,-15.7797,-47.9297,Sia Park Executive Hotel - Uma empresa Brasal
641,Ahipara,NZ,66.81,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
642,Khorramshahr,IR,73.17,few clouds,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
643,Brighton,GB,52.81,broken clouds,50.8284,-0.1395,"Holiday Inn Brighton - Seafront, an IHG Hotel"
644,Tocopilla,CL,65.37,few clouds,-22.092,-70.1979,Hotel Galvarino
645,Nagua,DO,78.85,few clouds,19.3832,-69.8474,Hotel Cambri
646,Dwarka,IN,78.57,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
652,Corinto,GR,58.89,overcast clouds,37.9407,22.9573,Ephira Hotel
655,Salvador,SV,79.2,scattered clouds,13.8333,-88.9167,Chico's Ranch
656,Nizwa,OM,72.16,clear sky,22.9333,57.5333,Orient Apartments
657,Puerto Narino,CO,73.78,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
658,Saint-Joseph,RE,74.46,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
663,Natal,BR,78.44,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
666,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
672,Ibague,CO,68.07,overcast clouds,4.4389,-75.2322,Hotel Internacional y Centro de Convenciones Casa Morales
673,Stromness,GB,51.76,overcast clouds,58.965,-3.296,The Old Smokery
675,Farafangana,MG,73.38,overcast clouds,-22.8167,47.8333,Miarina
676,Tame,CO,75.83,broken clouds,6.461,-71.73,Hospedaje Santa Ana
678,Wanlaweyn,SO,76.5,scattered clouds,2.6185,44.8938,GAASHAAN HOME
679,Karpathos,GR,60.76,scattered clouds,35.507,27.2132,Alex
682,Broken Hill,AU,53.92,clear sky,-31.95,141.4333,Royal Exchange Hotel
683,Lindi,TZ,73.65,scattered clouds,-10.0,39.7167,Lindi paradise house
684,Cap Malheureux,MU,67.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
685,Mecca,SA,77.74,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
688,Pyinmana,MM,68.29,few clouds,19.7333,96.2167,Bagan Umbra Hotel
691,Doha,QA,76.98,clear sky,25.2867,51.5333,Mövenpick Doha
