,City,Country,Max Temp($^\circ$F),Current Weather,Lat,Lng,Hotel Name
63,Fatehpur,IN,66.16,clear sky,25.9333,80.8,Hotel Bombay Lodge
66,Joao Camara,BR,75.31,few clouds,-5.5375,-35.8197,Pousada Miguel Teixeira
69,Busselton,AU,61.05,broken clouds,-33.65,115.3333,Observatory Guest House
75,Concordia,AR,73.85,clear sky,-31.393,-58.0209,Palmar Hotel Casino
78,Port Lincoln,AU,56.55,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
80,Flinders,AU,64.18,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
82,Mali,GN,63.7,overcast clouds,12.079,-12.2982,Hotel La Dame de Mali
83,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
89,Ponta Do Sol,PT,68.72,overcast clouds,32.6667,-17.1,Hotel do Campo
90,Castro,BR,59.67,clear sky,-24.7911,-50.0119,CHACARA BAILLY
91,Rayagada,IN,58.91,clear sky,19.1667,83.4167,"Hotel Swagath, Rayagada"
94,Hualmay,PE,65.91,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
96,Guerrero Negro,MX,72.64,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
99,Esperance,AU,57.04,few clouds,-33.8667,121.9,Hospitality Esperance
101,Saint-Francois,FR,51.24,broken clouds,46.4154,3.9054,Maison Vin d'Hus
103,Bengkulu,ID,75.04,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
104,Artyom,AZ,50.14,overcast clouds,40.4723,50.333,Nazimin bazdigxanasi
105,Geraldton,AU,59.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
106,Mao,ES,68.56,clear sky,39.8885,4.2658,ARTIEM Capri
109,Faanui,PF,79.47,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
112,Minab,IR,79.12,clear sky,27.1467,57.0801,Bam campground
114,Guapi,CO,76.05,light rain,2.5708,-77.8854,Hotel Emperador Guapí
115,Sinnamary,GF,79.02,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
119,Port Elizabeth,ZA,62.89,clear sky,-33.918,25.5701,39 On Nile Guest House
120,Inhambane,MZ,68.02,clear sky,-23.865,35.3833,Oceano
125,Punta Arenas,CL,57.31,clear sky,-53.15,-70.9167,Hotel Hain
127,Guangyuan,CN,54.5,overcast clouds,32.442,105.823,Guangyuan Poetry Hotel
128,Mount Isa,AU,78.57,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
130,Aswan,EG,67.3,clear sky,24.0934,32.907,Nuba Nile
135,Mar Del Plata,AR,73.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
139,Tagusao,PH,79.86,overcast clouds,9.1924,117.8141,Caycay future beach resort
140,Bhainsa,IN,68.05,clear sky,26.9548,76.9012,Rizwan pathan
147,Mount Gambier,AU,54.16,light rain,-37.8333,140.7667,The Commodore
148,Iguape,BR,69.85,clear sky,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
150,Ixtapa,MX,79.23,clear sky,20.7,-105.2,hotel la terminal
152,Mindelo,CV,74.75,few clouds,16.8901,-24.9804,Hotel Gaudi
153,Tuatapere,NZ,68.54,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
155,Coihaique,CL,58.95,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
158,Pedasi,PA,79.07,light rain,7.5333,-80.0333,Hotel Casa de Campo Pedasí
161,Mahebourg,MU,70.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
162,Acarau,BR,78.71,few clouds,-2.8856,-40.12,castelo pizzaria
165,Tam Ky,VN,72.99,clear sky,15.5667,108.4833,Nhà Nghỉ Phương Hòa
167,Kampar,MY,78.94,overcast clouds,4.3,101.15,Grand Kampar Hotel
169,Marsh Harbour,BS,79.74,few clouds,26.5412,-77.0636,Abaco Beach Resort
173,Arraial Do Cabo,BR,71.06,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
175,Shingu,JP,53.83,clear sky,33.7333,135.9833,Shingu UI Hotel
178,Saint-Philippe,RE,69.39,light rain,-21.3585,55.7679,Le four à pain
179,Chicama,PE,64.94,broken clouds,-7.8447,-79.1469,Balihai Bungalows
183,Fuente Palmera,ES,61.75,overcast clouds,37.7049,-5.0996,CASA RURAL ECUESTRE
184,Todos Santos,MX,77.67,clear sky,23.45,-110.2167,Hotel California Todos Santos
186,Malanje,AO,60.91,light rain,-9.5402,16.341,Hotel Ginga
187,Lompoc,US,69.94,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
188,Minas,UY,58.77,clear sky,-34.3759,-55.2377,Hotel Minas
189,Katsuura,JP,55.42,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
192,Riyadh,SA,68.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
193,Lamu,KE,77.76,broken clouds,-2.2717,40.902,Lamu House
194,East London,ZA,66.27,overcast clouds,-33.0153,27.9116,Tu Casa
195,Havelock,US,71.58,overcast clouds,34.8791,-76.9013,Sherwood Motel
196,Mitsamiouli,KM,77.85,overcast clouds,-11.3847,43.2844,Foyer ADM
197,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
198,Kruisfontein,ZA,56.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
201,Tulungagung,ID,76.71,overcast clouds,-8.0657,111.9025,Lojikka Hotel
206,Kiama,AU,64.38,scattered clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
207,San Vicente,AR,59.61,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
208,Coquimbo,CL,65.93,clear sky,-29.9533,-71.3436,Hotel San Juan
209,Eirunepe,BR,74.84,overcast clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
210,Russell,US,59.2,overcast clouds,32.3502,-85.1999,Macs
211,Camacha,PT,63.82,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
212,Mildura,AU,54.07,clear sky,-34.2,142.15,Mercure Hotel Mildura
